Group,Category,Value
"White or Caucasian,Black or African American,Asian,Native Hawaiian or Other Pacific Islander",NUTRITIONAL_SUPPLEMENT,11
"White or Caucasian,Black or African American,Asian,Native Hawaiian or Other Pacific Islander",BODY_LUBRICANT,8
"White or Caucasian,Black or African American,Asian,Native Hawaiian or Other Pacific Islander",ABIS_BOOK,7
"White or Caucasian,Black or African American,Asian,Native Hawaiian or Other Pacific Islander",PET_SUPPLIES,7
"White or Caucasian,Black or African American,Asian,Other",AUTO_ACCESSORY,2
"White or Caucasian,Black or African American,Asian,Other",BEAUTY,1
"White or Caucasian,Black or African American,Asian,Other",BROOM,1
"White or Caucasian,Black or African American,Asian,Other",CALENDAR,1
"White or Caucasian,Black or African American,Asian,Other",CAMERA_DIGITAL,1
"White or Caucasian,Black or African American,Other",VEGETABLE,43
"White or Caucasian,Black or African American,Other",POULTRY,41
"White or Caucasian,Black or African American,Other",GROCERY,32
"White or Caucasian,Black or African American,Other",MEAT,32
"White or Caucasian,Black or African American,Other",WATER,32
"White or Caucasian,Native Hawaiian or Other Pacific Islander",ABIS_BOOK,38
"White or Caucasian,Native Hawaiian or Other Pacific Islander",ELECTRONIC_CABLE,11
"White or Caucasian,Native Hawaiian or Other Pacific Islander",INPUT_MOUSE,11
"White or Caucasian,Native Hawaiian or Other Pacific Islander",ANIMAL_LITTER,10
"White or Caucasian,Native Hawaiian or Other Pacific Islander",ANIMAL_WATER_DISPENSER,9
"White or Caucasian,Other",ABIS_BOOK,169
"White or Caucasian,Other",NUTRITIONAL_SUPPLEMENT,119
"White or Caucasian,Other",DRINK_FLAVORED,108
"White or Caucasian,Other",ELECTRONIC_CABLE,106
"White or Caucasian,Other",SHIRT,106
